,icao,iata,name,city,lat,lon
12260,KDEC,DEC,Decatur Airport,Decatur,39.83456,-88.86569
12262,KDEH,DEH,Decorah Municipal Airport,Decorah,43.2755,-91.73939
12263,KDEN,DEN,Denver International Airport,Denver,39.86167,-104.67317
12265,KDET,DET,Coleman A Young Municipal Airport,Detroit,42.40933,-83.01017
12267,KDFI,DFI,Defiance Memorial Airport,Defiance,41.3375,-84.42881
12268,KDFW,DFW,Dallas-Fort Worth International Airport,Dallas-Fort Worth,32.89723,-97.03769
12269,KDGL,DGL,Douglas Municipal Airport,Douglas,31.3426,-109.50645
12270,KDGW,DGW,Converse County Airport,Douglas,42.79719,-105.38583
12271,KDHN,DHN,Dothan Regional Airport,Dothan,31.32103,-85.44947
12272,KDHT,DHT,Dalhart Municipal Airport,Dalhart,36.02247,-102.54739
12274,KDIK,DIK,Dickinson/Theodore Roosevelt Regional Airport,Dickinson,46.80047,-102.80444
12276,KDKK,DKK,Chautauqua County/Dunkirk Airport,Dunkirk,42.49394,-79.27111
12279,KDLC,DLL,Dillon County Airport,Dillon,34.44906,-79.36858
12280,KDLF,DLF,Laughlin Afb Airport,Del Rio,29.4,-100.8
12281,KDLH,DLH,Duluth International Airport,Duluth,46.84207,-92.19324
12283,KDLN,DLN,Dillon Airport,Dillon,45.25536,-112.5525
12285,KDLS,DLS,Columbia Gorge Regional/The Dalles Municipal Airport,The Dalles,45.61936,-121.16828
12287,KDMA,DMA,Davis Monthan Afb Airport,Tucson,32.16636,-110.88317
12288,KDMN,DMN,Deming Municipal Airport,Deming,32.26239,-107.719
12289,KDMO,DMO,Sedalia Regional Airport,Sedalia,38.70742,-93.17592
12292,KDNL,DNL,Daniel Field,Augusta,33.46658,-82.03939
12293,KDNN,DNN,Dalton Municipal Airport,Dalton,34.72294,-84.87024
12294,KDNS,DNS,Denison Municipal Airport,Denison,41.9862,-95.37991
12295,KDNV,DNV,Vermilion Regional Airport,Danville,40.19983,-87.59517
12296,KDOV,DOV,Dover Afb Airport,Dover,39.12954,-75.46596
12297,KDPA,DPA,Dupage Airport,Chicago/West Chicago,41.90705,-88.248
12298,KDPG,DPG,Michael Army Air Field (Dugway Proving Ground) Airport,Dugway Proving Ground,40.19738,-112.93505
12301,KDRI,DRI,Beauregard Regional Airport,De Ridder,30.8,-93.3
12302,KDRM,DRE,Drummond Island Airport,Drummond Island,46.00931,-83.74393
12303,KDRO,DRO,Durango-La Plata County Airport,Durango,37.15153,-107.75378
12305,KDRT,DRT,Del Rio International Airport,Del Rio,29.37421,-100.92716
12306,KDSM,DSM,Des Moines International Airport,Des Moines,41.5,-93.7
12307,KDSV,DSV,Dansville Municipal Airport,Dansville,42.57053,-77.71327
12308,KDTA,DTA,Delta Municipal Airport,Delta,39.38283,-112.50221
